job_title,company,job_location,post_date,salary,job_url,job_description
Data Engineer & Analyst,Benelynk,"Remote in Houston, TX 77002",Posted 30+ days ago,"$80,000 a year",https://www.indeed.com/rc/clk?jk=18555195c7601478&fccid=9656435542936ad4&vjs=3,"COMPANY OVERVIEW
 

   Does the idea of applying your talents at a company that assists people in understanding how to obtain additional health care benefits and compensates well for doing so, inspire you? We call it 
  “Doing good while doing well” and invite you to apply to join us and begin moving forward along a beneficial career path – one built on providing solutions by helping others navigate through the complex world of health care benefits.
 

   Here at BeneLynk, our mission is to improve lives and positively impact social determinants of health barriers by providing our healthcare partners with the information they need, and people with the advocacy they deserve. We are laser-focused on our longstanding area of expertise in the healthcare world. We fully understand barriers and surface solutions, then provide the advocacy that changes lives and improves outcomes. Everything we do, from the systems we build, to our government relations, to our outreach operations, is in service of this one central vision.
 


 WHO WE ARE
 

   We are big-hearted people, passionate about serving our health plan clients, their members, and each other. We are a team in every sense of the word, striving toward a common mission – that is the goal of everyone at BeneLynk. Every day, we are relentless in helping people who need essential resources to make their lives easier and healthier. The members we serve call us ""miracles,"" ""kind,"" ""professional,"" ""human,"" and ""compassionate,"" and all with ""service that gets the job done."" We pride ourselves on creating a healthy environment for our employees to thrive in their ability to assist others.
 


 Data Engineer & Analyst (Remote)
 

   POSITION SUMMARY
 


 A talented and driven Data Engineer & Analyst is required to help facilitate growth for dynamic healthcare services company. BeneLynk is a fast growing, data driven company that delivers services benefiting veterans, Medicare enrollees, and Medicaid enrollees. BeneLynk delivers value to its clients through its deployment of analytics and data integration technologies.
 

   Within BeneLynk, the BI and Analytics team supports that growth by providing reporting and analytics across the organization. The company is building out its software platform and is looking to leverage technologies in cloud services, storage, data visualization, machine learning, and artificial intelligence.
 

   This is a technical role that involves defining changes to the warehouse data model and building scalable and efficient processes to extract or modify warehouse data. The ideal candidate will be comfortable in a fast-paced, high-performance environment with hands on data processing and data modeling experience in a ""big data"" environment. This role would also at times act as a liaison between the data team and the project/functional analytics leads.
 

   KEY RESPONSIBILITIES
 

 Collaborate with business stakeholders to review and identify data requirements.
 Development and management of Azure Data Factory Pipelines, Data Sources, Data Flows, and custom Integration Runtimes
 Leverage Microsoft PowerBI for the visualization and deployment of model and ad-hoc data.
 Maintain Azure Data Warehousing (DW) infrastructure, data-organization, ETL and support
 Leverage Azure Analysis Services to build conceptual and logical data models
 Analyze and validate data accuracy of report results
 View and understand other project or functional areas to consolidate analytical needs and facilitate team growth, helping to train and integrate new data team members



 REQUIRED SKILLS, QUALIFICATIONS, AND EXPERIENCES:
 

   The following skills and experiences are required:
 

 Advanced SQL skills including knowledge of joins, window functions, groupings, subqueries, and stored procedures.
 Must have specific experience in a cloud environment, preferably Microsoft Azure. Must be comfortable spinning up new applications and services and understand the basic architecture of cloud-based solutions
 Experience with data platforms and in data transformation and extraction: some combination of ETL/ELT, relational & snowflake schema design, query design, performance analysis and optimization
 Experience developing and managing reporting solutions, dashboards, etc.
 Experience collaborating with various business stakeholders to gather requirements, review any process changes, and translate those into work items.



 PREFERRED SKILLS, QUALIFICATIONS, AND EXPERIENCES:
 

   The following skills and experiences are preferred but not required:
 

 Experience deploying modern data solutions leveraging components like Azure functions, Azure Storage Accounts, Azure Data Factory, Data Flows, Azure Data Lake, Azure SQL, Azure Synapse, Streaming Analytics and Data Lake, Azure SQL, Azure Synapse,
 

 Technical degree in computer science, computer engineering, or a related technical field
 Knowledge of and the ability to perform basic statistical analysis such as measures of central tendency, normal distribution, variance, standard deviation, basic tests, correlation, and regression techniques
 Experience working with R or Python
 Prior experience with PowerBi
 Big Data experience with products such as Hadoop or MongoDB, and/or cloud platforms from Microsoft, Google, or Amazon
 Project management experience
 Experience working in both Agile and Waterfall environments



 PHYSICAL DEMANDS
 


 The physical demands described here are representative of those that must be met by an employee to successful perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
 


 Physical Activities – Remote



 Weight Lifted/ Force Exerted – The employee’s job does not require weight to be lifted or force exerted.



 WORK ENVIRONMENT
 


 This role is a remote position.
 


 POSITION TYPE/ EXPECTED HOURS OF WORK
 


 Hours are flexible, but the Data Engineer will be expected to coordinate with teams working out of several different time zones, primarily EST
 


 SALARY
 


 Salary will be based on experience
 

   The minimum salary for this position is $80k annually
 


 EMPLOYEE PERKS
 

 Work hard, play hard! Having an engaged workforce and positive work environment is one of our top priorities here at BeneLynk. We do so through numerous initiatives that can be found below. We like to call our virtual work community, “The Bene-Verse”. We also have an internal Culture Ambassador committee dedicated to ensuring all employees have a pleasant and exciting work experience.
 

   Monthly Company Town Hall Events:
 


 We love the opportunity to come together as a company. Join us monthly as we discuss exciting company updates, internal promotions, internal awards, upcoming events, and more!




 Monthly Internal Mental Health Newsletters:
 


 Our Culture Ambassadors spearhead an internal newsletter centered on mental health topics. Our employees’ overall wellbeing is our top priority, so we like to provide support whenever it is needed through this uplifting internal newsletter.




 Monthly Streaming Services Perk:
 


 Yes- we pay YOU to enjoy the television shows that you enjoy! We pay up to a $12 per month for any streaming service subscriptions that you currently have.




 Tickets at Work Perk:
 


 Enjoy discounted movie tickets, hotel stays, and more through our company’s ‘Tickets at Work’ perk!




 Monthly Lunch & Learn Events:
 


 Meet key members of our Senior Management team through engaging Lunch & Learn sessions on a monthly basis. Lunch is on us for those employees that sign up!




 Monthly Bene-Verse Events:
 


 We put on awesome monthly events for our employees including virtual trivia, team building exercises, guided painting sessions, and more!




 EEO STATEMENT
 

   At BeneLynk, we don’t just accept differences; we celebrate, support, and thrive on them for the benefit of our employees, our products, and the communities that we serve. All employees share in the responsibility for fulfilling this company’s unwavering commitment to equal employment opportunity. BeneLynk is an equal opportunity employer, and as such, employment here is solely based on a person's merit and qualifications directly related to their professional expertise. BeneLynk does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, military status, marital/familial status, pregnancy, or related condition, including breastfeeding, or any other classes protected by law.
 

   It is BeneLynk’s policy to comply with all applicable federal, state, and local laws pertaining to nondiscrimination and equal opportunity. The company's EEO policy, as well as its affirmative action obligations, includes the full support of the company, including its Chief Executive Officer because it's just the right thing to do and we hope that you think so too.
 

   If you require reasonable accommodation in completing an application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to our HR team.
 


 E-VERIFY
 

   BeneLynk participates in E-Verify. We will provide the U.S. Social Security Administration (SSA) and, if necessary, the U.S. Department of Homeland Security (DHS) with information from each new employer’s Form I-9 to confirm work authorization.
 

 ***Offer of employment is contingent upon the results of a required background and drug screening.***"
Business Data Analyst – PMO,Kelsey-Seybold Clinic,"Pearland, TX",Posted 25 days ago,"$99,174 - $122,491 a year",https://www.indeed.com/rc/clk?jk=e1241a93ca3d2ee5&fccid=f3ae74ad38e863f8&vjs=3,"Responsibilities:
 The analyst will support both the strategy and PMO team verticals through gathering and analyzing information, formulating, and testing hypotheses, and developing and communicating insights. The analyst will help foster a culture of growth and improvement by assisting with top-priority, cross-functional enterprise initiatives that deliver strategic value and scalable growth. Content will cover a variety of healthcare topics and business functions, including project-based data and root cause analysis, regional market analysis; demand projections and supply estimates by micro-market, care specialty, patient type, and payor mix; high-level initiative design and implementation planning.
 Job Title: Business Data Analyst – PMO
 Clinic Location: Pearland Administrative Office
 Department: PMO
 Job Type: Full Time
 Salary Range: $99,174 – $122,491 (Pay is based on several factors including but not limited to education, work experience, certifications, etc.)


 Qualifications
 Education
 Required: Bachelor’s degree
 Preferred: Masters in Health Sciences/admin or MBA
 Experience
 Required: Minimum (1) year of relevant experience Strong analytical experience in high-impact projects in healthcare or other relevant industry
 Preferred: Experience or education on data analysis, statistics or statistical analysis, process mapping, lean methodologies, and infrastructure building on projects
 License(s)
 Required: N/A
 Preferred: Lean Six Sigma Green Belt
 Special Skills
 Required: Strong analytical skills with attention to detail Working knowledge of project management Ability to influence results without direct authority in a matrixed environment, with both internal and external stakeholders
 Preferred: Ability to use common and specialty data systems such as Power BI, Tableau, Epic Systems, G Suite, Slack, Salesforce, Canva, SQL, Python, R Proficient in MS Office Suite including Project, Excel, Visio, PowerPoint, and SharePoint
 Other
 Required: Ability to use common data systems such as Excel Proficient in MS Word
 Preferred: Ability to use common and specialty data systems such as Power BI, Tableau, Epic Systems, G Suite, Slack, Salesforce, Canva, SQL, Python, R Proficient in MS Office Suite including Project, Excel, Visio, PowerPoint, and SharePoint
 Working Environment: Office / Clinic
 About Us
 Start your career journey and become a part of a community of renowned Healthcare professionals. Kelsey-Seybold Clinic is Houston’s fastest growing, multispecialty organization with more than 40 premier locations and over 65 specialties. Our clinics are comprised of more than 600 physicians and as we continue to grow, our focus is providing quality patient care by adding to our team of clinical and non-clinical professionals that work together in a convenient, coordinated, and collaborative manner. Enjoy the rewards of a successful career while maintaining a work/life balance by joining our team today and changing the way health cares.


 Why Kelsey-Seybold Clinic?

Medical, Vision, and Dental
Tuition Reimbursement
Company Matching 401K
Employee Reward and Recognition Program
Paid time off for vacation, sick, and holidays
Employee Assistance Program
Continuing Medical Education allowance"
Energy Data Analyst,Prudential Energy,"Houston, TX 77024 (Greater Memorial area)",Posted 30+ days ago,,https://www.indeed.com/rc/clk?jk=f55f73da9eca7fda&fccid=cd14e788001c90bb&vjs=3,"Responsibilities:

Manage the day-to-day workflow associated with Prudential Energy’s front-end software. Involves onboarding, maintain, auditing and tracking performance.
Analyze Prudential Energy front-end software and identify inefficiencies and areas where improvement is required. Work with internal team as well as 3rd party development partners to improve data accuracy and usability. Monitor results and report progress.
Facilitate systematic processing of energy deals by analyzing customer historical energy usage and creating pricing quotes.
Assist the pricing team with the RFP process: Initiation, analysis, final work product and quality control
Accountable for data accuracy in all workflow aspects
Proactively communicate across team, to manage project progress and meet deadlines.
Input accurate deal level data points: Contact info, start/end date, account size, rate type etc.
Contract data entry into back office software throughout contract lifecycle.
Identify, design, and implement solutions to improve quality, standardization, accuracy of analytical work product
Complete reporting requirements including dashboards and other analytical reports

Necessary Qualities:

Dedication to project outcomes
Ability to think creatively and strategically, take a proactive and aggressive goal setting approach to assist in developing continuous improvement culture
Collaborate effectively in a fast-paced, team environment
Self-motivated; committed to the execution of quality, team work
Interest in learning all core business functions and processes; drawing connections to the bigger picture is of paramount importance
Strong sense of urgency and attention to strategic timing considerations"
Data Analyst,mBridge Solutions,"Houston, TX",Posted 30+ days ago,Contract,https://www.indeed.com/rc/clk?jk=52dca036c5da4ec1&fccid=2605c7c80b4a846c&vjs=3,"mBridge is looking for a Sr. Data Analyst for their direct client in Houston, TX. This is a long term contract role on a hybrid mode. 



Description: 



Contribute to IT foundational platform team member to work on data modeling  
Reporting of key metrics and business insights  
Analyzing user requirements, procedures and problems to automate or improve existing capabilities, workflow and scheduling limitations  
Responsible for effectively monitoring and reporting of asset data models linked to asset performance and condition  
Provides support to the Asset Modeling function to ensure the optimization and reliability of assets through enhanced data analysis.  
Generating and supporting the reporting for metrics.  
This drives value by understanding asset business systems analytical activities to improve asset performance through data analytics and reporting ensuring compliance to business objectives and strategy.  
Prepare cost-benefit and return-on-investment analyses to aid in decisions on system implementation.  
Supervise the expansion or modification of system to serve new purposes or improve workflow.  





Requirements 



Experience with SQL Server, Power BI, Power BI Reports, ETL, Power Apps .  
Azure SQL / SQL DB / Synapse.  
Modeling: Dimensional Data Modeling (Star Schema, Snowflake Schema, Extended Star Schema)  
Collects data across multiple monitoring sources.  
Provides low level assessments on asset condition.  
Contributes to defect component review and reference against data analysis.  
Provides data analysis and technical information relating operational information systems relating to Asset Optimization, Utilization and Reliability .  
Communicates the outcomes of monitoring data analysis with asset management stakeholders.  
Prepares asset condition and performance information to support maintenance decisions."
Data Management Analyst (Anesthesiology),UTHealth Houston,"Houston, TX",Posted 9 days ago,Full-time,https://www.indeed.com/rc/clk?jk=997b0575f4dd501e&fccid=2259246cd8a35c6c&vjs=3,"What we do here changes the world. UTHealth Houston is Texas’ resource for healthcare education, innovation, scientific discovery, and excellence in patient care. That’s where you come in.
 Once you join us you won't want to leave. It’s because we reward our team for the excellent service they provide. Our total rewards package includes the benefits you’d expect from a top healthcare organization (benefits, insurance, etc.), plus:

100% paid medical premiums for our full-time employees
Generous time off (holidays, preventative leave day, both vacation and sick time – all of which equates to around 37-38 days per year)
The longer you stay, the more vacation you’ll accrue!
Longevity Pay (Monthly payments after two years of service)
Build your future with our awesome retirement/pension plan!

 We take care of our employees! As a world-renowned institution, our employees’ wellbeing is important to us. We offer work/life services such as...

Free financial and legal counseling
Free mental health counseling services
Gym membership discounts and access to wellness programs
Other employee discounts including entertainment, car rentals, cell phones, etc.
Resources for child and elder care
Plus many more!

 Position Summary:
 Utilizing analytical and data management tools, performs intermediate level data creation, management, analysis and troubleshooting activities in support of multiple research projects and studies. Performs statistical analyses associated with research projects.

 Position Key Accountabilities:


Responsible for managing/maintaining data for multiple projects or research efforts.


Creates, supports, and troubleshoots tools or software used to manage data.


Develops and maintains quality controls for all research databases.


Designs database queries and compiles, analyzes, and reports statistical data for research projects.


Interfaces with vendors and offsite researchers and coordinators.


Other duties as assigned.



Certification/Skills:
 Detailed knowledge of query design, report creation, and graphic representations of data. Knowledge and experience managing complex databases. Experience providing analysis of data.
 Minimum Education:
 Bachelor’s degree in business, computer science, or related field or related experience in lieu of education.
 Minimum Experience:
 Three years of experience with complex databases. May substitute required experience with equivalent years of education beyond the minimum education requirement

 Physical Requirements:
 Exerts up to 50 pounds of force occasionally and/or up to 20 pounds frequently and/or up to 10 pounds constantly to move objects. This position may include work involving potentially hazardous chemical, biological or radioactive agents.
 Security Sensitive:
 This job class may contain positions that are security sensitive and thereby subject to the provisions of Texas Education Code § 51.215
 Residency Requirement:
 Employees must permanently reside and work in the State of Texas."
Data Entry Analyst,Expro,"Houston, TX",Posted 30+ days ago,Temporary,https://www.indeed.com/rc/clk?jk=5d5bd441f0639093&fccid=ce0ab0603fa44d9e&vjs=3,"Who is Expro?
Working for our clients across the entire well life cycle, Expro is a visionary full-cycle energy services expert offering novel, insightful solutions, dependable competency and award-winning safety.

 Combining innovative, future-facing technology with high-quality data across well construction, well flow management and production, subsea well access, and well integrity and intervention, we have a reputation for extraordinary performance that keeps our clients operations running smoothly. 
Expro is currently recruiting for a Data Entry Analyst to join the Facilities team based in Houston. This is temporary position based on the project lenght. (Hybrid Schedule)





 Overall Purpose of the Job


Support the Supply Chain team on data entry projects as assigned.




 Key Activities and Accountabilities




Manually enter text or numerical data into databases, spreadsheets, or word processing application.


Use of automated software programs to upload digital data files.


After manually or automatically uploading information, data entry analysts may manipulate this data to create specialized reports for managers and other colleagues.


Actively adhere to the Code of Conduct and Anti-Bribery policies, procedures, and processes to ensure the highest ethical standards are maintained and exposure to liability or risk to Expro’s reputation is minimized. If necessary, report possible violations or conflicts of interest.


Actively adhere to and ensure compliance with applicable Quality policies, procedures, processes and systems. Take an active part in quality improvement processes. Identify and report any deficiencies to supervisor and obtain authorization for any deviations from standard procedures.


Actively comply with all applicable Health, Safety & Environmental (HSE) policies, procedures and processes. Promote HSE awareness; take responsibility and be accountable for own safety and safety of others. Demonstrate the personal application of HSE procedures in daily performance and always follow the 10 Safety House Rules. 






Job Knowledge and Qualifications


Proficient in Microsoft office. Previous data entry experience is a plus.



 Why Expro?
People are the most important. And every Expro person engineers our future. They are the drivers of our methodologies. Expro people are confident. They can draw out the right answer which attract the right clients.


At Expro, we live by our values, People, Performance, Planet and Partnerships. People are always at the heart of our success. Performance is getting it right first time, every time. We're committed to reducing our environmental impact and we build relationships with our customers to understand their needs.
Equal Opportunity Employeer.
The only way to apply for a job at Expro is on our website. For more information around safe recruitment and how we recruit please visit our website at https://www.expro.com/careers/how-we-recruit/safe-recruitment


To apply for this opportunity please click on the 'Apply' button.


Find us at the following"
"Analyst, Data","Avelo Airlines, Inc.","Houston, TX 77046 (Greenway - Upper Kirby area)",Posted 11 days ago,Full-time,https://www.indeed.com/rc/clk?jk=4c89673b55b1dd65&fccid=2d65d02f0caed180&vjs=3,"Description: 
  Description
 The Data Analyst is responsible for collecting, analyzing, and interpreting data to help business stakeholders make better decisions. This includes working with a variety of data sources, using statistical and machine learning techniques, and developing reports and visualizations. The Data Analyst also works closely with stakeholders to understand their needs and communicate the results of their analysis in a clear and concise way.
 Responsibilities
 1) Data

 Develop and maintain the company’s single source of truth.
 Ingest external data to enrich reporting and analyses.
 Wrangle data to be leveraged for analyses by yourself and others.

 2) Reporting

 Build actionable reporting used by departments across the company.
 Design and monitor key performance metrics across departments.
 Identify business opportunities and ensure stakeholder satisfaction.

 3) Analysis

 Translate business problems into analytical projects.
 Apply data and statistics modeling to gain actionable business insights.
 Requirements: 
  Education Requirements:

 Bachelor’s degree in Engineering, Statistics, Mathematics, Economics, or related field.

 Functional Competencies:

 High proficiency in SQL and ETL tools.
 Proficient building visualizations through reporting software, such as Tableau, Power BI, or similar.
 Some proficiency in other programming languages, such as VBA, Python, C#, etc.
 Understands fundamental mathematical and statistical concepts.
 Proficient with Microsoft Office.
 Strong business acumen and able to articulate complex concepts in plain English.
 Analytical aptitude and action oriented; enjoys strategic thinking while also being tactical.
 Strives to understand and resolve the needs of business partners; acts as a steward of the company and a collaborative problems solver.
 Must be able to thrive in a dynamic, fast paced environment, and deliver effective recommendations & results quickly.
 Strong written & verbal communication skills
 Strong desire for continuous learning & improvement
 Ability to work cross-functionally, develop relationships, and motivate performance.

 X Factors:

 Experience with a startup or high-growth company, preferably within an airline."
Data Analyst,HQL Solutions,"Houston, TX",Posted 30+ days ago,On call,https://www.indeed.com/rc/clk?jk=3aae2fc2f390e077&fccid=6fb4dda31772ecac&vjs=3,"Job Specification:








               Perform proactive and complex analyses.
              




               Develop and manage information to support corporate decision-making.
              




               Manage and improve the existing reporting system.
              




               Conduct and facilitate organizational risk assessment and decision-making processes.
              




               Develop and implement databases, data collection systems, data analytics, and other strategies that optimize the Company’s statistical efficiency and quality.
              




               Locate and define new process improvement opportunities.
              




               Work closely with QA Analysts to provide quality assurance of imported data.
              




               Process confidential data and information according to Company guidelines.
              




               Provide on-call support for application and database issues.
              




               Build automated daily, weekly, and monthly reports.
              




               Interpret data, analyze results using statistical techniques, and provide ongoing reports to the Operations Manager."
Sr. Data Analyst,Spruce Power,"Houston, TX 77024 (Greater Memorial area)",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=314713599fe02be7&fccid=605974455e20ca1a&vjs=3,"THE POSITION: Sr. Data Analyst
 Responsible for performing analysis and generating actionable recommendations for improving performance in a leading residential solar energy services company.
 Reports to the Business Intelligence Manager and conducts advanced analysis of data to arrive at insights that drive tactical and strategic efforts. The analyst is expected to work closely with the solar asset operations team and the external data service provider to proactively monitor and detect/diagnosis underperforming solar systems. He/she is also expected to create/automate weekly, monthly and ad hoc reports as well as perform analysis to guide data-driven business decisions.
 The ability to dive deep into data to arrive at insights that inform tactical and strategic efforts is required. The role also requires an attention to detail and the aptitude to tell a complete, compelling and actionable story through data and analysis.
 Key responsibilities include:

 Generate and maintain reports to track solar system performance on a weekly, monthly, and quarterly basis
 Extract, parse and translate large production data sets into meaningful reports
 Work closely with various data service providers, maintain data quality and maintain/improve automated dispatch system
 Escalate technical support issues to internal and external resources
 Utilize advanced analytics to drive new insights from various data sets and help generate actionable steps for improving solar system performance
 Define, document and calculate Key Performance Indicators (KPIs) and methods for tracking these KPIs for internal and external stakeholders
 Generate and publish reports and visualizations with Power BI and/or other applications to be used by management for informed decision making and tracking performance
 Create and present analysis to upper management and other key internal and external stakeholders
 Assist in identifying and advancing Business Intelligence and Analytical capabilities and functionality thought out the organization
 Performs other duties as assigned

 QUALIFICATIONS

 Deep experience with Power BI software
 Proven focus on and experience with generating actionable recommendations through data-driven analysis
 Ability to understand how data maps to business processes and to make recommendations on how to adjust procedures to gain efficiencies, increase quality or improve service
 Ability to communicate clearly and succinctly
 Proven experience with a combination of SQL, SSRS, SSAS, Power BI, Excel
 Ability to write complex SQL queries and work with Sql Server relational databases
 Strong Power Point presentation skills
 Experience with programming languages including Python and R are preferred, but not required
 Experience in data management and data quality concepts, practices and services
 Experience with various file formats (XML, CSV, etc.)
 Outstanding organizational, analytical and facilitation skills.
 Experience with Microsoft Office Suite…Excel, Word and PowerPoint
 Familiarity with Azure Cloud is preferred, but not required
 Experienced with Data Warehouse concepts and practices
 Familiar with ETL and data transfer concepts and capabilities
 Authorized to work in the United States
 Experience in solar industries a plus

 EDUCATION

 Minimum of a Bachelor's degree or equivalent in computer science or STEM field

 EQUAL OPPORTUNITY EMPLOYER
 We value a diverse work environment. Spruce Power is an equal opportunity employer and hires without consideration to race, religion, national origin, age, gender, sexual orientation, marital status, veteran status or disability.
 
FVGbTPWjIT"
Data Analyst - Glasscock School,Rice University,"Houston, TX",Posted 30+ days ago,"$64,500 - $73,500 a year",https://www.indeed.com/rc/clk?jk=9308fb4d7cf5bc63&fccid=a3d79a6d43cd3473&vjs=3,"Special Instructions to Applicants: All interested applicants must attach a cover letter and a resume in the Supporting Documents section of the application in a PDF format. Please note that the applicant tracking system does not covert attachments in Word format successfully. 
Position Summary 
The Susanne M. Glasscock School of Continuing Studies (GSCS) connects Rice University to Houston and the world, offering exemplary educational opportunities for career changers, game-changers, lifelong learners, and everyone in between. We seek a highly motivated and skilled Data Analyst that can turn data into information, information into insight, and insight into business decisions using innovative methodologies for integrating and analyzing large, multi-modal data sets. 
The responsibilities include collecting, analyzing, and interpreting various types of data, using various types of data sets and software, and utilizing analytical, statistical, and communication skills. Write statistical analyses in R or Python, query secure data enclave stored in the Rice data warehouse, and create a well-documented process for collecting, analyzing, interpreting, and visualizing the data using tech stacks such as Snowflake, Informatica, and Tableau. This position may perform special projects upon request and, on occasion, provide guidance to others at the school. 
We celebrate diversity of all kinds, and we are committed to nurturing an inclusive environment. We seek to hire, develop, and retain talented people from all backgrounds. We are part of a private university, but our team comes from various backgrounds and includes people who attended universities and community colleges, as well as people who did not graduate from college. 
This position offers a flexible work schedule (minimum of two (2) days in the office per week). This position requires U.S. work authorization. 
Proposed Hiring Range: The annual hiring range is $64,500 to $73,500, contingent upon qualifications and experience. 
Requirements 

Bachelor’s degree in mathematics, Computer Science, Statistics Economics 
Three (3) years of related professional experience in data analysis, statistical analysis 
In-depth knowledge and experience using and applying analytical software, database management system software, database reporting software, database user interface and query software, and data mining software. 
Advanced ability to collect data using various methods, such as data mining and hardcopy or electronic documentation study, to improve or expand databases. 
Proven ability in R, Python, and/or other relevant languages 
Strong listening, verbal, and written communication skills 
Ability to manage multiple activities in a deadline-oriented environment; highly organized, flexible, and rigorous attention to detail. 
Ability to use logic to calculate data; efficiently construct a database or scrutinize the form of a question. 
Ability to work with data of varying levels of quality and validity. 
Demonstrated ability to produce data in a clear and understandable manner, meeting user requirements. 
Ability to work effectively with multiple internal and external customers. 

Essential Functions 

Under limited guidance, assesses and produces relevant, standard, or custom reports showing business solutions tailored to new trends, demands, and concepts. 
Distributes and disseminates reports accordingly. 
Devises methods for identifying data patterns and trends in available information sources using various qualitative and quantitative techniques. 
Determines and recommends additional data collection and reporting requirements. 
Designs and customizes reports based on data in the database. 
Serves as a resource for non-routine inquiries such as requests for statistics or surveys. 
Leads the implementation of data standards and common data elements for data collection. 
Collaborates with client/department manager to standardize and systemize routine reports, dashboards, and metrics. 
May test prototype software and participate in the approval and release process for new software. 
Performs all other duties as assigned. 

Additional Functions 

Write statistical analyses in R or Python 
Knowledge of Snowflake and Informatica 
Working Knowledge of GitHub 
Working knowledge of Tableau 
Analyze and document user needs, existing and new policies, processes, procedures, and operational methods to consider possible improvements to new and existing systems. 
Defines and documents business requirements and test cases for system developments. 
Includes the writing of all or a portion of functional specifications. 
Coordinates with business and technology teams, ascertaining system requirements, such as program functions, output requirements, input data acquisition, and system techniques and controls. 
Problem solves in areas such as system design, input/output requirements, and procedural flow between departments and/or business systems. 
Performs configuration of enterprise application software 
Performs testing of new systems, upgrades, and patching existing systems; may include developing test plans. 
Conducts and documents results of testing. 
Develops instructional materials, training, and job aids. 

Preferences 

Knowledge of computer system capabilities, business processes, and workflow 
Understanding of the software development life cycle 
Basic experience with enterprise applications and understanding of database-driven applications. 
Skill in conducting interviews. 
Excellent communication skills, both written and verbal, including the ability to bridge functional and technical resources by communicating effectively with individuals of varying systems expertise and business needs. 
Listening, negotiation, and conflict resolution skills 
Ability to maintain good customer relations with clients and external vendors and partners. 
Knowledge of markup languages, including HTML, LaTeX, and MathML, and a keen interest in the technical aspects of content production 
Proficiency with a text editor, such as VS Code, Sublime Text, or Atom 
Proficiency with command line tools, such as Terminal Proficiency in Adobe Creative Suite 
Knowledge of CSS and/or JavaScript 
Experience developing and managing content within an LMS such as Canvas. 
Proficiency with GitHub, Snowflake, and Google Apps 

Rice University HR | Benefits: https://knowledgecafe.rice.edu/benefits 

Rice Mission and Values: Mission and Values | Rice University 

Rice University is an Equal Opportunity Employer with commitment to diversity at all levels, and considers for employment qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national or ethnic origin, genetic information, disability or protected veteran status. 


Faculty and staff are expected (but not required) to have completed a full vaccination series for COVID-19 (currently defined as full course COVID-19 Vaccine (typically two shots of a WHO-approved COVID-19 Vaccine or one J&J) and a COVID-19 booster. Rice does not require documentation for COVID 19 vaccination at this time for faculty and staff. More information can be found here: https://coronavirus.rice.edu/policies





 Boasting a 300-acre tree-lined campus in Houston, Rice University is ranked among the nation’s top 20 universities by U.S. News & World Report. Rice has a 6-to-1 undergraduate student-to-faculty ratio, and a residential college system, which supports students intellectually, emotionally and culturally through social events, intramural sports, student plays, lectures series, courses and student government. Developing close-knit, diverse college communities is a strong campus tradition, which is why Rice is highly ranked for best quality of life and best value among private universities."
