job_title,company,job_location,post_date,salary,job_url,job_description
Data Analyst,Confidential,"San Antonio, TX 78213 (Greater Dellview area)",EmployerActive 2 days ago,Full-time,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAIEZtPHxc8ki6YUcSwk6dfw4iQYRQ4TvB4BAw6CESLQNUTlwuVw6ty_Sf38aRrYpHizyX5y2Xow_8lxJyqeC9j7H6Nr0yEGYLVHNY-LE6wcrkUSAF7uWL5ntLdl1Arfh7N9lMtTn9R6nz698S-bgwgN1NSmS1ZP4JdFjGfsOr0GRTe4t-JA6mz6GHaAoYUfGlHU480rPUqSPkwkh1PMP6AFbdHfEiw53L3nBgBwzVu2Cr6eQ-Tb82ZsIFCHFpIs2KnJJAYOe8xu9lZJo-gfmboyXjGjxOClGNEhVsipM7QlDTTVF6Qpkjiyq7NHoZ2vU9F-Mahr2fOGRVGj1KoXTGT0kg-cCed9OS-oza4e-B3EHvi0UESPuqK9lcl3DvKit-jhfyV06oYo_OM14CaJyERypQnSH9T8RVQx9ZsYoQscR_xEvEKmy5z6qxyR-jZCL0QPsl4rYDUCT1LRnNzA0oxCJTIbhkGsdoLTUjCRRj81s6EN5h6rSjWYY0tg8L_G8CAYIQZKQ_yQ==&xkcb=SoBm-_M3MBrxG8wnAR0LbzkdCdPP&p=0&fvj=1&vjs=3,"This is an in-person position working at the corporate office in San Antonio, TX.
· Collect, organize, transform, and present data from a variety of sources
· Connect to multiple internal/external company systems, to retrieve, combine, and aggregate data to support business objectives
· Create standard and ad-hoc reports based on business needs
· Conduct analysis based on data collected to guide business decisions
· Build systems to automate business processes and report
· Assist with data gathering, transformation, loading
· Provide quality assurance of incoming data sources, audit internal systems, catch exceptions
· Design and implement custom applications and business processes to automate workload and increase efficiency
Required:
· Highly experienced in data management and reporting (Excel, R Programming, Python, And/Or SQL)
· Excel experience (VLOOKUPs, conditional formatting, etc)
· Ability to work reliably and independently to support business objectives
· High aptitude for math and analytics, general computer use, and ability to learn new tools/technologies
Preferred
· Advanced Excel Proficiency
· R Programming Proficiency
· Proficiency with SQL/Relational Databases
· B.A. or B.S. in Math, Statistics, Computer Science, or related field
Job Type: Full-time
Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

V Look up in Excel: 1 year (Preferred)

Work Location: In person"
Data Analyst (Customer Relationship Management),ENDEAVORS,"San Antonio, TX 78249",Posted 15 days ago,Full-time,https://www.indeed.com/rc/clk?jk=66fc3770f5d81f48&fccid=dcff5dab0a5948d4&vjs=3,N/A
Business Analyst -- Fully Remote,Locks Global Staffing LLC,"Remote in San Antonio, TX 78006",Posted 30+ days ago,"$80,000 - $120,000 a year",https://www.indeed.com/rc/clk?jk=533693542b2ab1e6&fccid=dd616958bd9ddc12&vjs=3,"Role is Predominantly Remote. Travel is paid for and project dependent. 
We are one of the leading minority-owned management consulting firms in the nation. We have worked closely with blue-chip organizations across the public and private sector including local municipalities and state and federal agencies. Our services center around, but are not limited to, capital program development and delivery, transactional advisory services, cross departmental organizational change, IT transformation, and organizational alignment. 
Our senior advisers bring a wealth of experience across all sectors. We focus on collaboration with our Clients to architect creative and effective solutions to deliver transformational programs! 

Responsibilities of this role: 

Set up and facilitate meetings with Stakeholders to understand business processes, pain points, and project requirements 


Understand program needs and document clear and detailed business requirements, including the creation of process flows 


Acts as a translator between the stakeholder and other team members to help the business team understand the client’s vision 


Operate in both an Agile and traditional Waterfall environments while actively supporting deliverable creation and delivery 


Routinely record and send out meeting minutes, decisions, and action items to team members 


Qualifications 

BA or BS is required 


2+ years of experience as a Business Analyst or relevant professional experience in a variety of backgrounds and industries 


Experience working in and utilizing various business analysis techniques with Agile and or traditional project management principles 


Experience working as part of a multi-function project team, including interacting and following-up with multiple stakeholders including but not limited to program leaders, SMEs, process owners, IT staff, etc. 


Skills Required: 

Strong analytical, planning, and organization skills 


Demonstrates strong time management skills and is able to manage competing demands 


Excellent presentation and written communication skills with experience interacting at all levels including at the executive level 


Solid understanding of and demonstrated experience in using project management tools such as PowerPoint, Excel, Microsoft Project, Visio, and all Office tools 


Ability to travel for work as needed 


Willingness to learn new skills and dedicated to self-growth"
Business Data Analyst,University Health,"San Antonio, TX",Posted 3 days ago,,https://www.indeed.com/rc/clk?jk=9844e9e3ec79c22b&fccid=accc2b889773d4c2&vjs=3,"Req # 00009286




    Business Center
  




    EPIC Operations
  




    Day Shift
  







POSITION SUMMARY AND RESPONSIBILITIES Acts as the primary support contact for Tableau reporting supporting University Health. Designs, builds, and tests data visualizations and analytical reports to requirements that meet end user needs. Responsible for interpreting and transforming data into accurate, consistent, and timely information while balancing the ""big picture"" strategic vision with day-to-day details. Organizes and schedules a variety of major and/or complex computer system tasks in a timely and proficient manner. Individual must maintain a good working relationship with co-workers and other UHS staff and perform other duties as assigned or defined in the performance evaluation and in the UHS policies and procedures.
EDUCATIONAL/EXPERIENCE 2+ years of experience with analytics and report creation is required. 2+ years of experience in Tableau is required. Tableau Prep, Desktop, Online and Server. Bachelor’s degree in data analytics or other work related field is preferred. Work experience may be substituted for formal education requirement. Experience in a healthcare setting is preferred but not required. Proficiency in the following is preferred: MS Excel, Visio, PowerPoint, Word, and SharePoint. Will be required to successfully pass the Cogito assessment for technical knowledge and analytical application in Tableau."
"Data Analyst, Mid",Booz Allen Hamilton,"Hybrid remote in San Antonio, TX",Posted 30+ days ago,"$58,300 - $133,000 a year",https://www.indeed.com/rc/clk?jk=2f4b5558f63b505b&fccid=4e041af1d0af1bc8&vjs=3,"The Opportunity:
 As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your expertise to identify trends and anomalies to support data-driven decision making.

 As a data analyst on our Data Analytics team, you’ll work closely with your clients to understand their questions and needs and then dig into their data-rich environments to find the pieces of their information puzzle. Not only will you provide a deep understanding of their data, but you’ll also advise your client on what the information means and how it can be used to make an impact on public works programs and support services, as well as technological advancement of analytics capabilities.

 How You’ll Contribute:
 As a data analyst on our team, you’ll:

 Use your technical knowledge and analytical mindset to support client and stakeholder relationships.
 Research, develop, and test data methodologies, and generate cross-functional solutions through metrics collection, interpretation, evaluation, and analysis of large data sets.
 Contribute to impactful work and guide decision-making across multiple organizations.
 Ability to quickly adapt to changing priorities based on mission needs.
 Present data findings and recommendations to clients and stakeholders using your knowledge of databases and Microsoft Office Suite.
 Establish quantitative and qualitative metrics and key performance indicators to drive technical outcomes.
 Apply data visualization through different formats, including charts, pivot tables, graphs, Power BI dashboards, and PowerPoint slides.
 Grow your communication and technical skills by merging consulting and big data to create data-centric solutions across public works program areas.


 Are you ready to drive large-scale business and process decisions through data insights.

 Join us. The world can’t wait.

 You Have:

 2+ years of experience with conducting data analysis and reporting, including dashboard development, data cleansing, metrics analysis, and research
 Experience with data visualization tools, including Power BI
 Ability to synthesize and communicate insights based upon information from disparate sources
 Ability to articulate technical concepts and solutions for a variety of audiences
 Secret clearance
 Bachelor's degree


 Nice If You Have:

 Experience with Python or R
 Experience with SharePoint Online, Power Apps, and Power Automate
 Experience with consulting
 Possession of strong critical thinking and problem-solving skills
 Possession of strong verbal and written communications skills


 Clearance:
 Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.



 Create Your Career:


 Grow With Us


 Your growth matters to us—that’s why we offer a variety of ways for you to develop your career. With professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms.



 A Place Where You Belong


 Diverse perspectives cultivate collective ingenuity. Booz Allen’s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. With an array of business resource groups and other opportunities for connection, you’ll build your community in no time.



 Support Your Well-Being


 Our comprehensive benefits package includes wellness programs with HSA contributions, paid holidays, paid parental leave, a generous 401(k) match, and more. With these benefits, plus the option for flexible schedules and remote and hybrid locations, we’ll support you as you pursue a balanced, fulfilling life—at work and at home.



 Your Candidate Journey


 At Booz Allen, we know our people are what propel us forward, and we value relationships most of all. Here, we’ve compiled a list of resources so you’ll know what to expect as we forge a connection with you during your journey as a candidate with us.


 Compensation
 At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. Our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen’s benefit programs. Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page.
 Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $58,300.00 to $133,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.
 
 Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.

 If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.
 If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.


 EEO Commitment
 We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law."
"Business Analyst II Data,Rept&Vis",H-E-B,"San Antonio, TX 78204 (Lone Star area)",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=836a15242fb15f94&fccid=c629e32155ebd42c&vjs=3,"Overview: 
 H-E-B is one of the largest, independently owned food retailers in the nation operating over 420+ stores throughout Texas and Mexico, with annual sales generating over $34 billion. Described by industry experts as a daring innovator and smart competitor, 
 H-E-B has led the way with creative new concepts, outstanding service and a commitment to diversity in our workforce, workplace and marketplace. 
 H-E-B offers a wealth of career opportunities to our 145,000+ Partners (employees), competitive compensation and benefits program and comprehensive training that lead to successful careers.
  Responsibilities: 
 
   The H-E-B Planning & Analysis Team develops and maintains budgets and financial systems while providing current, reliable financial data, analysis, and technical info. To help make essential Corporate planning decisions, our Analysts apply data-wrangling skills and business acumen to identify and tackle business problems. As a Business Analyst - Data, Reporting & Visualization, you'll support Product Manager work with data analysis, requirements documentation, and reporting and visualization.
  
 Once you're eligible, you'll become an Owner in the company, so we're looking for commitment, hard work, and focus on quality and Customer service. 'Partner-owned' means our most important resources-People-drive the innovation, growth, and success that make H-E-B The Greatest Omnichannel Retailing Company.
  
 Do you have a:
   HEART FOR PEOPLE... skills to communicate technical data to non-technical people?
   HEAD FOR BUSINESS... visualization skills?
   PASSION FOR RESULTS... drive to explore / map data and processes?
  
 We are looking for:
  

a related degree or comparable formal training, certification, or work experience
4+ years of experience in business intelligence report development

 What is the work?
   Analytics / Reporting & Documentation:
  

Collaborates with Product Owners and stakeholders to document business processes and detailed requirements for Data Engineers and Report Developers
Applies understanding of project vision from Product Owner; assists in coordinating efforts with a cross-functional team
Assists Product Owners in building out project roadmaps
May serve as data SME in specific subject area(s); applies understanding of data flow across all systems that support the business process; maps business process to systems and data to support Visualization
Collaborates with Data Engineers to translate product into solution
Explores / profiles new data sets to understand scenarios and anomalies
Accesses / organizes data; builds out analyses to propose solutions for business problems
Creates simple reports and visualization as part of data exploration and analysis
Performs quality assurance / user acceptance testing for Data Solution or Report Development solutions
Provides ongoing support for products built by the vertical scrum team and across verticals
 - Provides ongoing reporting and subject area training for H-E-B BI users
  
 What is your background?
  

A related degree or comparable formal training, certification, or work experience
4+ years of experience in business intelligence report development
 - Experience on H-E-B data engineering, financial analysis, or merchandising teams (a plus)
  
 Do you have what it takes to be a fit as an H-E-B Business Analyst - Data, Reporting & Visualization?
  

Comprehensive SQL knowledge
Advanced data visualization skills
Ability to extract, explore, and profile data
Ability to communicate with all levels of stakeholders

 Can you...
  

Function in a fast-paced, retail, office environment
Work extended hours

 11-2020"
Compensation Analyst II (Remote/Hybrid),H-E-B,"Remote in San Antonio, TX 78204",Posted 2 days ago,Full-time,https://www.indeed.com/rc/clk?jk=d35edde028a2d810&fccid=c629e32155ebd42c&vjs=3,"Overview: 
 
 H-E-B is one of the largest, independently owned food retailers in the nation operating over 400 stores throughout Texas and Mexico, with annual sales generating over $25 billion. Described by industry experts as a daring innovator and smart competitor, 
  H-E-B has led the way with creative new concepts, outstanding service and a commitment to diversity in our workforce, workplace and marketplace. 
  H-E-B offers a wealth of career opportunities to our 110,000+ Partners (employees), competitive compensation and benefits program and comprehensive training that lead to successful careers.
  Responsibilities: 
 
   H-E-B is a 'Pay-for-Performance' Company, and the Compensation Team works hard to ensure all Partners are compensated fairly and competitively.
  
 As a Compensation Analyst, you'll manage company-wide recurring focal and ad hoc programs that support our culture of competitive total rewards, such as merit reviews, bonuses, and incentives.
  
 Once you're eligible, you'll become an Owner in the company, so we're looking for commitment, hard work, and focus on quality and Customer service. 'Partner-owned' means our most important resources-People-drive the innovation, growth, and success that make H-E-B The Greatest Omnichannel Retailing Company.
  
 Do you have a:
   HEART FOR PEOPLE... collaborative work style?
   HEAD FOR BUSINESS... strong knowledge of HR technology?
   PASSION FOR RESULTS... drive to support company-wide Compensation processes?
  
 We are looking for:
  

strong process management and analytical skills

 What is the work?
   Analytics:
  

Supports / ensures data integrity across HR systems, tools, and communications
Applies government compliance programs and regulations to compensation processes
May develop costing models, reports, metrics, and analysis
Retrieves / analyzes HRIS data

 Project Management:
   - Supports / manages H-E-B-wide programs and projects related to Compensation initiatives (some or all of these)
   - merit cycles
   - bonuses
   - short- and long-term incentives (STI / LTI)
   - compliance (FLSA, pay equity, etc.)
   - recurring and ad hoc reporting (Partner pay positioning, HR and Leadership reports, etc.)
   - paid time off
   - disaster pay
  

Supports special projects as needed
Serves as subject matter expert on recurring compensation processes
Collaborates with Compensation Advisors to improve and manage tools, processes, and policies
Documents new processes; maintains policy and guideline documentation on existing processes
Supports / may manage communication, execution, implementation, modification of programs and policies
Responds to compensation process-related inquiries
Recommends process improvements
Supports salary program(s) administration and survey data submissions

 What is your background?
  

A related degree or comparable formal training, certification, or work experience
 - 3+ years of experience managing and administering Compensation- / HR-related processes
  

Experience in Compensation-related analytics

 Do you have what it takes to be a fit as an H-E-B Compensation Analyst?
  

Strong working knowledge of HR technology and compensation-related trends
Strong analytical and Excel skills
Strong communication and presentation skills
Strong project and process management skills
Ability to create / manipulate dynamic tools and models to interpret and analyze data
Ability to regularly handle and communicate confidential information in a professional manner
Ability to manage multiple priorities and deadlines, and shift focus between projects / tasks; attention to detail
Strong collaborative work style

 Can you...
  

Function in a fast-paced, retail, office environment
Travel by car or plane with overnight stays
Work extended hours; sit for extended periods



 HR3232"
Data Analyst (Remote),Balance,"San Antonio, TX 78230 (Vance Jackson area)",Posted 2 days ago,"$60,000 - $63,000 a year",https://www.indeed.com/rc/clk?jk=3864d5cc2ccb0284&fccid=47d9dc5ff7be7843&vjs=3,"Summary
 The Salesforce Administrator plays an important role on the Data Team, reporting and the creation and maintenance of data-driven insights that help our organization make better decisions. We're looking to add a detail-oriented, methodical, and collaborative team player to our team of driven professionals. This is a telecommuting position requiring a permanent home office.
 Job Duties and Responsibilities:

 Managing the Salesforce Portal for any backend issues
 Fixing connectivity issues between apps/programs and Salesforce, as they arise
 Updating or adding custom ﬁelds and automation within Salesforce as necessary
 Improving our Salesforce dashboard and reports
 Develop or refine the processes used by different teams within the company to ensure that they're working efficiently and producing high-quality results.
 Writing reports and presentations that present data and findings in a clear and concise manner
 Advocating for business intelligence solutions that will help the organization meet its goals
 Analyzing data to identify patterns or trends that could indicate problems within the business
 Working with senior management to develop goals, objectives, and strategies for improving business performance
 Developing reports that monitor key business metrics such as customer satisfaction levels
 Engage with internal stakeholders/head of departments to ensure reporting needs are met
 Oversee reporting to funders and stakeholders Create, run, and distribute periodic reports 
Use various tools to perform Ad Hoc analysis
 Aggregate, clean, and structure data from various sources
 Take ownership of data quality to ensure validity and reliability of reporting
 Document structures and types of business data

 Skills and Qualifications:

 Data Analysis: Use data analysis skills to review and interpret data from a variety of sources, including large data sets, to identify useful information for our organization. Also use data analysis to identify areas where our organization can improve and make data-driven decisions.
 Communication: Data Analyst will communicate with a variety of individuals and groups, including other managers, employees, and other stakeholders. Effective communication is crucial to the success of a business intelligence team, as it allows the team to work together to develop strategies and solutions. It also allows the Data Analyst to provide feedback and guidance to the team.
 Critical thinking: Critical thinking is the ability to analyze a situation and determine the best course of action. This role will use critical thinking skills to make decisions about the data they collect, the methods they use to collect it and the ways they present the data.
 Problem-solving: This role will work with other managers and executives to identify business challenges and develop solutions.
 Project management: Responsible for overseeing the implementation of a business intelligence project. This can include tasks such as creating a project plan, assigning tasks to team members, monitoring the project's progress, and evaluating its success.
 Salesforce Admin, SQL Server, Excel + VBA, Power BI experience needed
 Expert Excel skills, with a strong understanding of pivot tables, functions, and filters
 Knowledge of relation databases 

Required:

 2 years of hands-on experience with Salesforce
 Bachelor's degree computer science or mathematics
 Project Management experience

 Preferred: 

2 years of experience in reporting
 2 to 5 years of experience in programming and SQL
 2 to 5 years of experience in a data analyst or similar role
 Knowledge of advanced statistical methods

 About Us:
 BALANCE is a nationwide non-profit organization committed to helping individuals and families overcome their financial challenges and meet their goals. Through local and national education and counseling programs we provide help and hope to families overwhelmed by debt, facing foreclosure, struggling to master their money, caught in a cycle of over-priced fringe financial services, or trying to purchase their first home. Additional information about us can be found at www.balancepro.org.
 BALANCE offers a fun and collaborative environment with exceptional benefits for our employees which include medical, dental, vision, and life insurance; 403(b) retirement plan, 3 weeks paid time off, plus paid federal holidays, an extensive training program, and more!
 BALANCE is an Equal Opportunity Employer. This organization participates in E-Verify. Please no phone-calls."
Junior Data Analyst,Alpha Facilities Solutions,"San Antonio, TX 78261",Posted 30+ days ago,Full-time,https://www.indeed.com/rc/clk?jk=37a99fcc34cb4f0a&fccid=7151ffab042722fa&vjs=3,"Full-time position located in San Antonio, Texas. This position will provide data support for clients and various internal projects to collect, merge, and cleanse project and company data for technical and business analysis and reporting. The position will also require developing visualizations and presenting findings to clients and project team leads and managers. 
  


SPECIFIC RESPONSIBILITIES:



Mine, Review and analyze data looking for patterns and inconsistencies
Data validation based on business practice requirements
Develop datasets to support various project’s data needs and validation
Design and build visualizations to support client report deliverables and other business practices
Design and develop SQL queries to pull and compare data elements
Develop actionable insights and recommendations for the current business operations
Assist in implementing or developing systems to capture business operation information
Present findings to business practice leaders and senior leadership



SKILLS/COMPETENCIES:



1 - 2 years’ experience in analytics.
Good SQL Experience
Strong Microsoft Office Suite experience, specifically Excel
Strong Business Intelligence Software experience
Excellent written and verbal communication skills
Ability to manage multiple tasks simultaneously
Excellent collaborative skills
Strong attention to detail



EDUCATION:



Bachelor’s degree required
Master’s degree in analytics or Information Systems preferred


JOB TYPE:
 Full-time
  


COVID-19 CONSIDERATIONS:
 All employees are required to be vaccinated unless they have valid doctor confirmed reason for not receiving the vaccine. Masks are to be worn on client site at all times."
Business Analyst (Full-Time),University Health,"San Antonio, TX",Posted 9 days ago,Full-time,https://www.indeed.com/rc/clk?jk=c5d42d82e2977643&fccid=accc2b889773d4c2&vjs=3,"Req # 00069490




    Corporate Square
  




    Institute for Public Health
  




    Day Shift
  




 POSITION SUMMARY/RESPONSIBILITIES
Assists Public Health Institute in facilitating the integration of data science capacity to support enterprise-level needs assessment, analytics and reporting. Work performed by the Sr. Business Analyst will involve undertaking in-depth data analysis that will support quality outcomes and metrics, financial and service line reporting and ancillary services. Will primarily work in an environment that will leverage multiple data sources including clinical, administrative and finance. Will focus on developing data products that utilize and integrate various analytical and statistical programs including ArcGIS, R, and Tableau. Collaborates with departments and key stakeholders to develop a culture of data fluency that optimizes enterprise-level “self-service” reporting. 
EDUCATION/EXPERIENCE
Bachelors’ degree in mathematics, computer science, statistics, health care, public health or related field is required, with 1 year of related experience preferred. Master’s degree in related in the aforementioned fields is highly preferred. Strong knowledge and experience with reporting or analytics packages including R, SPSS, Tableau with the ability to learn new analytical tools highly preferred. Prior experience working in Epic Cogito reporting platform is also preferred. Must demonstrate adaptability, decision-making, customer focus, and problem-solving skills as well as strong oral and written communication skills."
